Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-09-14,"Jay's Route",5.10,"Whack start",https://www.mountainproject.com/route/106381423/jays-route,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > b. Orange Sunshine Wall",2.8,-1,Lead,Fell/Hung,Sport,,,3000
2024-09-14,"Hinterland (first pitch)",5.10c,,https://www.mountainproject.com/route/106381327/hinterland-first-pitch,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > f. Big Wall",2.8,-1,Lead,Flash,Sport,,,3200
2024-06-16,"Orange Sunshine",5.8,,https://www.mountainproject.com/route/106381417/orange-sunshine,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > b. Orange Sunshine Wall",2.8,-1,Lead,Flash,Sport,,,2100
2024-06-16,"Dirty Swing",5.7,,https://www.mountainproject.com/route/106381405/dirty-swing,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > b. Orange Sunshine Wall",1.6,-1,Lead,Flash,Sport,,,1800
2024-06-16,"Bottom Feeder",5.8,,https://www.mountainproject.com/route/106381444/bottom-feeder,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > b. Orange Sunshine Wall",1.8,-1,Lead,Flash,Sport,,,2100
2023-08-07,"Dirty Sanchez",5.9+,,https://www.mountainproject.com/route/107478445/dirty-sanchez,2,"Pennsylvania > Southeastern Lowlands > Ralph Stover State Park (High Rocks) > i. Orangutan Buttress",2.9,-1,Lead,Flash,Sport,,110,2500
2023-03-18,"Ivy Leaf","5.4 PG13",,https://www.mountainproject.com/route/106134918/ivy-leaf,1,"Pennsylvania > Southeastern Lowlands > Ralph Stover State Park (High Rocks) > b. Practice Face",2.2,-1,TR,,"Trad, TR",,50,1400
2023-03-18,"Finger in the Dike","5.6 PG13",,https://www.mountainproject.com/route/106134924/finger-in-the-dike,1,"Pennsylvania > Southeastern Lowlands > Ralph Stover State Park (High Rocks) > b. Practice Face",2.6,-1,TR,,"Trad, TR",,50,1600
2023-03-18,"Open Face Slab",5.7,,https://www.mountainproject.com/route/108125830/open-face-slab,1,"Pennsylvania > Southeastern Lowlands > Ralph Stover State Park (High Rocks) > h. Open Face",2.8,-1,Lead,Flash,"Sport, TR",,100,1800
2023-03-18,"Practice Climb",5.3,,https://www.mountainproject.com/route/106134928/practice-climb,1,"Pennsylvania > Southeastern Lowlands > Ralph Stover State Park (High Rocks) > b. Practice Face",2.0,-1,TR,,Trad,,50,1300
2023-03-18,"Triple Overhang","5.8 PG13",,https://www.mountainproject.com/route/106134912/triple-overhang,1,"Pennsylvania > Southeastern Lowlands > Ralph Stover State Park (High Rocks) > b. Practice Face",2.4,-1,TR,,"Trad, TR",,50,2100
2022-10-22,"Dirty Swing",5.7,,https://www.mountainproject.com/route/106381405/dirty-swing,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > b. Orange Sunshine Wall",1.6,-1,TR,,Sport,,,1800
2022-10-22,"The Sixth Element",5.6,,https://www.mountainproject.com/route/106931050/the-sixth-element,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > a. Main Wall",1.7,-1,TR,,Sport,,30,1600
2022-10-22,Arocknophobia,5.7,,https://www.mountainproject.com/route/106931088/arocknophobia,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > a. Main Wall",1.6,-1,TR,,Sport,,30,1800
2022-10-22,"Rain Check Direct",5.7+,,https://www.mountainproject.com/route/106931093/rain-check-direct,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > a. Main Wall",1.6,-1,TR,,Sport,,25,1900
2022-10-22,"Rocky and Bullwinkle",5.5,,https://www.mountainproject.com/route/106381453/rocky-and-bullwinkle,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > b. Orange Sunshine Wall",1.7,-1,TR,,Sport,,,1500
2022-10-22,"Orange Sunshine",5.8,,https://www.mountainproject.com/route/106381417/orange-sunshine,1,"Pennsylvania > Southeastern Lowlands > Birdsboro Quarry > b. Orange Sunshine Wall",2.8,-1,TR,,Sport,,,2100
