Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-10-27,"Middle Earth",5.6,"Awesome climb! I felt very confident, gear placements were all great and frequent, I was probably the most comfortable I’ve ever been on trad and felt super positive doing this. End of the day, quiet and cool spot. White steak that defines this climb is also very striking and beautiful. Favorite gunks climb so far!",https://www.mountainproject.com/route/105815029/middle-earth,3,"New York > The Gunks > The Trapps > g. V3 - Middle Earth",2.8,-1,Lead,Onsight,Trad,,250,1600
2024-10-27,"Hyjek's Horror","5.8+ R","Hard slab, my classic favorite style. Beginning was the most challenging part. Enjoyed it and it gave me confidence for the next climb!",https://www.mountainproject.com/route/106134098/hyjeks-horror,1,"New York > The Gunks > The Trapps > f. The Guides' Wall (Madame G's)",2.4,-1,TR,,Trad,,60,2200
2024-10-27,"Triple Bulges",5.5,"I led first pitch, Aaron led second pitch. Awesome climbing but a little challenging for leading. I should lead this next time!",https://www.mountainproject.com/route/105810522/triple-bulges,2,"New York > The Gunks > The Trapps > f. The Guides' Wall (Madame G's)",2.4,-1,Lead,Onsight,Trad,,180,1500
2024-10-27,Bunny,5.5,"I led this, was a bit nervous since first climb of the day (one bad gear placement but otherwise did okay). Beautiful morning, lots of colors and got here just after 8am which is earlier than usual. Cold but warmed up nicely. ",https://www.mountainproject.com/route/105888225/bunny,1,"New York > The Gunks > The Trapps > a1. The Uberfall - left",2.6,-1,Lead,Onsight,Trad,,100,1500
2024-10-14,Birdland,5.8+,"With Link, before doing this on our way down from Gelsa saw a bad accident (Zoey fell from the top of first anchor, helped get her into the ambulance). Tough day but this climb was nice, a cool roof.",https://www.mountainproject.com/route/105800395/birdland,2,"New York > The Gunks > The Near Trapps > b. Gelsa to Moe (closure)",3.6,-1,Follow,,Trad,,200,2200
2024-10-14,Gelsa,5.4,"Very foggy and wet but a great climb",https://www.mountainproject.com/route/105799482/gelsa,3,"New York > The Gunks > The Near Trapps > a. Beginning of cliff to Gelsa",3.5,-1,Follow,,Trad,,195,1400
2024-09-14,Betty,5.3,"My first multi pitch trad lead on which I led both pitches! ",https://www.mountainproject.com/route/105920873/betty,2,"New York > The Gunks > The Trapps > b. Jackie and friends",3.0,-1,Lead,Onsight,Trad,,150,1300
2024-09-14,Junior,"5.9+ R","I tried and failed with my right foot first beta (slippery right hand hold). Aaron top roped for the first time providing crucial slab beta and then I succeeded ",https://www.mountainproject.com/route/106208732/junior,1,"New York > The Gunks > The Trapps > a2. The Uberfall - right",2.2,-1,TR,,"Trad, TR",,50,2500
2024-09-14,Clover,"5.7+ PG13","Fun climb",https://www.mountainproject.com/route/107282255/clover,1,"New York > The Gunks > The Trapps > a2. The Uberfall - right",2.4,-1,TR,,Trad,,95,1900
2024-09-14,Rhododendron,5.6,"Led, was great! And then top roped while waiting for Hungarian friends next to us. Great warmup",https://www.mountainproject.com/route/105810485/rhododendron,1,"New York > The Gunks > The Trapps > a2. The Uberfall - right",2.7,-1,Lead,Flash,Trad,,70,1600
2024-07-27,Arrow,5.8,"Super relaxed, felt extremely easy after leading. Just pleasant long climb with good edges. ",https://www.mountainproject.com/route/105799105/arrow,1,"New York > The Gunks > The Trapps > h. The Arrow Wall - CCK",3.5,-1,TR,,Trad,,200,2100
2024-07-27,Limelight,5.7,"Did it on lead and built my first 3 (actually 4) piece anchor ever and belayed successfully. Some challenging moments but proud of myself for getting through it. ",https://www.mountainproject.com/route/105801563/limelight,2,"New York > The Gunks > The Trapps > h. The Arrow Wall - CCK",3.3,-1,Lead,,Trad,,180,1800
2024-07-27,Baby,5.6,"This was a hard first climb of the day. Too in my head and gave up at the crux so Aaron led it and I followed, thought it was pretty challenging! ",https://www.mountainproject.com/route/105799782/baby,2,"New York > The Gunks > The Trapps > c. Frog's Head - the Arch",3.1,-1,Lead,,Trad,,140,1600
2024-07-04,Rhododendron,5.6,"Led after drinks, super fun and easy. :)",https://www.mountainproject.com/route/105810485/rhododendron,1,"New York > The Gunks > The Trapps > a2. The Uberfall - right",2.7,-1,Lead,,Trad,,70,1600
2024-07-04,"Belly Roll",5.4,"Led in the rain, took a break for drinks. ",https://www.mountainproject.com/route/106101970/belly-roll,2,"New York > The Gunks > The Trapps > b. Jackie and friends",2.5,-1,Lead,,Trad,,120,1400
