Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-12-30,Freeway,5.0,,https://www.mountainproject.com/route/105752023/freeway,6,"Colorado > Boulder > Flatirons > North > Second Flatiron",3.3,4,Solo,,Trad,,600,1000
2024-12-26,Freeway,5.0,,https://www.mountainproject.com/route/105752023/freeway,6,"Colorado > Boulder > Flatirons > North > Second Flatiron",3.3,4,Solo,,Trad,,600,1000
2024-12-15,"Hand Job Direct",5.9,,https://www.mountainproject.com/route/105758826/hand-job-direct,1,"Colorado > South Platte > Cathedral Spires Area > Cynical Pinnacle",2.9,3,Lead,Onsight,Trad,,100,2400
2024-12-15,"Center Route",5.9+,,https://www.mountainproject.com/route/105748816/center-route,3,"Colorado > South Platte > Cathedral Spires Area > Cynical Pinnacle",3.9,4,Lead,Onsight,Trad,,,2500
2024-12-08,"Cracking the Code",5.11b,"1st pitch only",https://www.mountainproject.com/route/105754996/cracking-the-code,1,"Colorado > Boulder > Boulder Canyon > Security Risk Massif > Upper Security Risk",2.0,2,Lead,Fell/Hung,Sport,,,4900
2024-12-08,"Just A Little Insecure",5.12a,,https://www.mountainproject.com/route/105754957/just-a-little-insecure,1,"Colorado > Boulder > Boulder Canyon > Security Risk Massif > Upper Security Risk",2.3,3,TR,,Sport,,,6600
2024-12-08,"Get Smart",5.10d,,https://www.mountainproject.com/route/105763650/get-smart,1,"Colorado > Boulder > Boulder Canyon > Security Risk Massif > Upper Security Risk",3.1,3,TR,,Trad,,100,3500
2024-12-08,"Security Risk",5.10,"Started at cracks ok the left",https://www.mountainproject.com/route/105751429/security-risk,2,"Colorado > Boulder > Boulder Canyon > Security Risk Massif > Lower Security Risk",3.4,3,Lead,Onsight,Trad,,,3000
2024-12-01,"Exit Stage Left",V4,,https://www.mountainproject.com/route/119110598/exit-stage-left,1,"Colorado > Boulder > Flagstaff > The Dark Side > Stage Boulder",2.3,-1,Attempt,,Boulder,,10,20400
2024-12-01,"Alcove East Overhang",V3,,https://www.mountainproject.com/route/106842601/alcove-east-overhang,1,"Colorado > Boulder > Flagstaff > Cloud Shadow",3.0,3,Attempt,,Boulder,,,20300
