Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2025-01-02,Animation,5.8,,https://www.mountainproject.com/route/105749785/animation,1,"Colorado > Boulder > Boulder Canyon > Animal World > Lower Animal World",3.2,-1,Lead,Onsight,Sport,,100,2100
2025-01-02,"Joint Venture",5.11a,"w/ shiyue. onsight. only did first pitch. crux pretty stout. best onsight grade so far!",https://www.mountainproject.com/route/105749782/joint-venture,2,"Colorado > Boulder > Boulder Canyon > Animal World > Lower Animal World",2.5,-1,Lead,Onsight,Sport,,,4600
2025-01-02,"Baby Dog",5.7+,"Amazing route! Shiyue’s first sport lead!",https://www.mountainproject.com/route/119267832/baby-dog,1,"Colorado > Boulder > Boulder Canyon > Animal World > Lower Animal World",2.5,-1,Lead,Onsight,Sport,,90,1900
2025-01-01,"East Face (Standard)",5.4,"W/ shiyue lilian kevin. Shiyue’s first lead on the second pitch!! Starting the new year right with this mega romp. Last pitch is stellar. ",https://www.mountainproject.com/route/105748047/east-face-standard,8,"Colorado > Boulder > Flatirons > North > Third Flatiron",3.7,-1,,,Trad,,,1400
2024-12-29,"The Great Zot",5.8+,"First pitch into rewritten",https://www.mountainproject.com/route/105748648/the-great-zot,1,"Colorado > Boulder > Eldorado Canyon State Park > Redgarden Wall > Redgarden - Lumpe to the top",2.9,-1,Lead,Onsight,Trad,,,2200
2024-12-29,"Rebuffat's Arete",5.7,"Rewritten finish",https://www.mountainproject.com/route/108095626/rebuffats-arete,1,"Colorado > Boulder > Eldorado Canyon State Park > Redgarden Wall > Redgarden - Lumpe to the top",3.7,-1,Lead,Onsight,Trad,,190,1800
2024-12-29,Rewritten,5.7,"W/ Shiyue, did the great zot start and finished in rebuffat’s arete. Windy near the top. ",https://www.mountainproject.com/route/105750106/rewritten,4,"Colorado > Boulder > Eldorado Canyon State Park > Redgarden Wall > Redgarden - Lumpe to the top",3.7,-1,Lead,Onsight,Trad,,650,1800
2024-12-27,"Hidden Falls (main)",WI4-,"TR. w/ Shiyue and Jesse. Laps. Start to understand ice climbing. Didn&#39;t layer enough so was cold.  Learned to place ice screws and make v threads. Two pitches were from the shorter one on the left.",https://www.mountainproject.com/route/105747199/hidden-falls-main,5,"Colorado > CO Ice & Mixed > RMNP - Mixed/Ice > Wild Basin > Hidden Falls",2.7,-1,,,"Trad, TR, Ice",,90,32750
2024-12-25,"Northwest Face Route - Thatchtop AKA Thatchtop Northeast Gully",WI3-4,"With Jesse and Shiyue. Baby’s first alpine climb! First pitch intro to ice climb, very steep lots of fun. Then some steep snow and slabby ice. Felt really adventurous and out there. ",https://www.mountainproject.com/route/105747538/northwest-face-route-thatchtop-aka-thatchtop-northeast-gully,4,"Colorado > CO Ice & Mixed > RMNP - Mixed/Ice > Glacier Gorge Trailhead Ice > Loch Vale & uphill",2.5,-1,Follow,,"Trad, Ice",,,32500
2024-11-30,Ursula,5.6,"w/ shiyue. first pitch was nice. second pitch stellar.",https://www.mountainproject.com/route/105840288/ursula,2,"New York > The Gunks > The Trapps > i. High E",2.8,-1,Lead,Redpoint,Trad,,180,1600
2024-11-30,"Ribless (a.k.a. Spare Ribs)",5.6,"w/ shiyue. Unexpectedly nice.",https://www.mountainproject.com/route/105902104/ribless-aka-spare-ribs,1,"New York > The Gunks > The Trapps > d. Strictly - The Ceiling",2.1,-1,Lead,Onsight,"Trad, TR",,80,1600
2024-11-30,"Ken's Crack",5.7+,"w/ Shiyue. Managed to unsent this lol",https://www.mountainproject.com/route/105799779/kens-crack,1,"New York > The Gunks > The Trapps > a2. The Uberfall - right",3.0,-1,Lead,Fell/Hung,Trad,,50,1900
2024-11-17,"Still Crazy After All These Years",5.10a/b,"tr after higher stannard. neverneverland vibe and raunchy start. at crux, just crank and side pull. rest is chill. could be a first 5.10 lead just don&#39;t tweak at crux",https://www.mountainproject.com/route/106738801/still-crazy-after-all-these-years,1,"New York > The Gunks > The Trapps > e. The Mac Wall (Something Interesting)",2.6,-1,,,Trad,,,2800
