Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-11-30,"Solar Slab",5.6,"EB led p1 and p3, i lead the rest. LP and E were ahead, traffic jam pn the rappels. Couldnt believe our ropes didnt get stuck. I enjoyed the diagonal chimney on p2 and running through p4 and p5.",https://www.mountainproject.com/route/105732257/solar-slab,9,"Nevada > Southern Nevada > Red Rocks > (12) Oak Creek Canyon > Solar Slab - Upper Tier",3.5,3,,,Trad,5.6,1220,1600
2024-11-29,"Dark Shadows",5.8,"Lead p234 with sr and eb. P3 was superb stemming, crack, and face climbing. Follower fell on some slack and soft decked at the belay",https://www.mountainproject.com/route/105732380/dark-shadows,4,"Nevada > Southern Nevada > Red Rocks > (10) Pine Creek Canyon > Mescalito > Dark Shadows Wall",3.6,4,,,Trad,5.8,350,2100
2024-11-28,"Olive Oil",5.7,"Lead with SR, eb and tu behind. Very fun route, last pitch was great stemming in the dihedral",https://www.mountainproject.com/route/105732494/olive-oil,5,"Nevada > Southern Nevada > Red Rocks > (11) Juniper Canyon > Rose Tower",3.4,4,,,Trad,5.7,600,1800
2024-05-18,"Knife Edge","Easy 5th","Fun on the way up, keep losing the trail from piedra lisa to start of the ridge...",https://www.mountainproject.com/route/106242069/knife-edge,1,"New Mexico > Albuquerque Area > Sandia Mountains > Juan Tabo Canyon > Shield",3.5,4,,,Trad,5.3,900,950
2024-05-18,"Rap and Catwalk Approach from Easterly End",4th,"Trail from the top of the shield to the rappel is barely existant, cairns are great though - stay up longer than you think.  

Couple of core shots on the 2nd fixed line on the rappel. You can downclimb/buttslide the last 5 feet to avoid these sections.

The two fixed lines for the traverses were in good condition.

Hug the wall forever on the descent until reaching clear red dirt path away.",https://www.mountainproject.com/route/115134006/rap-and-catwalk-approach-from-easterly-end,1,"New Mexico > Albuquerque Area > Sandia Mountains > Juan Tabo Canyon > Shield",2.5,-1,,,Trad,,1000,900
2023-11-26,"Pablo Diablo",5.12d,"cool movements, tough after 3rd bolt, v tough start. cool mantle at end, shawn was crushing. gave him a tight catch on a planned fall lul",https://www.mountainproject.com/route/105891272/pablo-diablo,1,"Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Calico Hills Trail > Stratocaster Area",3.7,-1,Lead,,Sport,,40,7500
2023-11-25,"Mr Choad's Wild Ride",5.11b,"still fun still hard",https://www.mountainproject.com/route/106375205/mr-choads-wild-ride,1,"Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Kraft Mountain Area > Sunny and Steep",3.7,4,Lead,,Sport,5.11b,105,4900
2023-11-24,Flameblower,5.10d,"long and sustained sharp crimps on my baby fingers!",https://www.mountainproject.com/route/107431251/flameblower,1,"Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Calico Hills Trail > Stratocaster Area",3.6,3,Lead,Fell/Hung,Sport,,95,3500
2023-11-24,"Pablo Diablo",5.12d,"cool movements, tough after 3rd bolt, v tough start. cool mantle at end, shawn was crushing. gave him a tight catch on a planned fall lul",https://www.mountainproject.com/route/105891272/pablo-diablo,1,"Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Calico Hills Trail > Stratocaster Area",3.7,-1,Lead,,Sport,,40,7500
2023-11-24,"One-Eyed Jacks",5.11a/b,"cool start, short and crimpy end",https://www.mountainproject.com/route/105818839/one-eyed-jacks,1,"Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Calico Hills Trail > Stratocaster Area",2.7,-1,Lead,Flash,Sport,,40,4800
2023-11-24,"Marshall Amp",5.11b,"fun start to easy climbing",https://www.mountainproject.com/route/105813493/marshall-amp,1,"Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Calico Hills Trail > Stratocaster Area",3.4,3,Lead,Flash,Sport,,105,4900
2023-11-23,"Cat in the Hat",5.6,"lead with kn, tu and eb right behind. top pitches were v fun, very nice belays, moderate approach. kn tossed ropes without calling rope 3x and we gave her shit.",https://www.mountainproject.com/route/105732419/cat-in-the-hat,6,"Nevada > Southern Nevada > Red Rocks > (10) Pine Creek Canyon > Mescalito > Southeast Buttress",3.1,3,Lead,,Trad,,650,1600
2023-11-22,"Tunnel Vision",5.7,"lead with kn. tu and lp leading ahead. grunty sharp chimney, very cool tunnel! not crowded at all, fun romps on this cliff!!",https://www.mountainproject.com/route/105732509/tunnel-vision,6,"Nevada > Southern Nevada > Red Rocks > (06) White Rock Spring > Angel Food Area > Angel Food Wall",3.1,4,Lead,,Trad,,770,1800
2023-11-21,"Rock Warrior","5.10b R","followed lp with tu. we lost psych after 2p, danger to psych ratio was too low. cool slab and standard 5.10 face climbing for 2p",https://www.mountainproject.com/route/105883684/rock-warrior,2,"Nevada > Southern Nevada > Red Rocks > (16) Black Velvet Canyon > Black Velvet Wall",3.6,-1,Follow,,Trad,,,2900
2023-11-20,Armatron,5.9-,"lead upper p's after lp raced up first 3 to get us ahead. hung out with tu on belays, super fun route. tough approach, upper pitches were classic!",https://www.mountainproject.com/route/105809181/armatron,6,"Nevada > Southern Nevada > Red Rocks > (11) Juniper Canyon > Brownstone Wall",3.6,4,Lead,,Trad,,680,2300
2023-11-19,Frogland,5.8,"lead upper pitches, lp ran up left of start and p2 to get ahead. fun traverse pitch and runout end!",https://www.mountainproject.com/route/105732398/frogland,6,"Nevada > Southern Nevada > Red Rocks > (16) Black Velvet Canyon > Whiskey Peak > North Face",3.6,-1,Lead,,Trad,,700,2100
2023-08-27,"Knife Edge","Easy 5th","With Q, very fun day",https://www.mountainproject.com/route/106242069/knife-edge,1,"New Mexico > Albuquerque Area > Sandia Mountains > Juan Tabo Canyon > Shield",3.5,4,,,Trad,5.3,900,950
2022-11-27,Mooch,5.11b,"fun start, and tough for the last couple bolts. lota of rotten rock on this route, big pieces could fall at the first couple bolts, and smaller bits in the middle.",https://www.mountainproject.com/route/110330421/mooch,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Bear's Den",1.8,2,Lead,,Sport,"5.11b PG13",80,4900
2022-11-26,Routeburglar,5.12a,"fell at at chains, missed the forearm scum at the last bolt- pumpy, just pumped out",https://www.mountainproject.com/route/111281142/routeburglar,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Bear's Den",3.2,3,Lead,Fell/Hung,Sport,5.12a,75,6600
2022-11-26,"Clay City Exit",5.11a,"fun overhung start, mellow middle and long reach before chains fun!",https://www.mountainproject.com/route/110270655/clay-city-exit,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Bear's Den",2.9,3,Lead,,Sport,5.11a,65,4600
2022-11-26,"Low Hanging Fruit",5.10d,"fingery section, sharp",https://www.mountainproject.com/route/110270679/low-hanging-fruit,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Bear's Den",2.2,2,Lead,,Sport,5.10d,60,3500
2022-11-26,Un-koala-fied,5.9,"mini rodeo clip on first draw, scoop and sharp",https://www.mountainproject.com/route/109469891/un-koala-fied,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Bear's Den",2.3,2,Lead,,Sport,5.9,40,2400
2022-11-25,"Who is Who?",5.11d,"steep bouldery at the bottom, hard to see the right holds whole climbing, then fun rests and pump to the end",https://www.mountainproject.com/route/113237108/who-is-who,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Shady Grove",2.6,3,Lead,Fell/Hung,Sport,5.11d,70,5500
2022-11-25,"Far From God",5.12b,"took some whips on this, very pumpy!
good lat down rest, and some good kneebars- just run through the pump!",https://www.mountainproject.com/route/106912616/far-from-god,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Shady Grove",3.6,3,Lead,Fell/Hung,Sport,5.12b,80,6900
2022-11-25,"Crucify Me",5.11c,"agressively bolt to bolted this one to finish as fast as possible- racing link who sandbagged his way up then casually beat me",https://www.mountainproject.com/route/107062126/crucify-me,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Shady Grove",3.0,3,Lead,Fell/Hung,Sport,5.11c,70,5200
2022-11-25,"Girls Gone Wild..WOO!",5.10d,"fun pockets and moves on this one, just did too many routes too fast",https://www.mountainproject.com/route/106702996/girls-gone-wildwoo,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Shady Grove",2.9,3,Lead,Fell/Hung,Sport,5.10d,60,3500
2022-11-24,"Limbic System",5.11+,"fun slabby route, very crimpy and technical",https://www.mountainproject.com/route/119661328/limbic-system,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory",3.4,3,Lead,Fell/Hung,Sport,5.11c,85,5300
2022-11-24,Theobroma,5.10d,"fun roof up top, ok face st bottom",https://www.mountainproject.com/route/109770874/theobroma,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory",3.0,3,Lead,,Sport,5.10d,75,3500
2022-11-24,"Sunday Night Cockfights",5.11b,"a bit techy, fun route. enjoyed the sandy stand up moves at the top",https://www.mountainproject.com/route/111378943/sunday-night-cockfights,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory",2.8,2,Lead,,Sport,"5.11b X",55,4900
2022-11-24,"Snarf Victory",5.10c,"very sharp pockets at b2! kelsey crushed this one",https://www.mountainproject.com/route/109480386/snarf-victory,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory",2.2,2,Lead,,Sport,5.10c,60,3200
2022-11-24,"Throbbing Emotions",5.10a,"very fun route, jugs everywhere you need them.",https://www.mountainproject.com/route/108064675/throbbing-emotions,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory",2.8,3,Lead,,Sport,5.10a,55,2600
2022-11-23,"Too Many Puppies",5.12a,"felt v tough, especially the redpoint crux at the top, the rest felt doable. cool arete!",https://www.mountainproject.com/route/105893624/too-many-puppies,1,"Kentucky > Red River Gorge > Northern Gorge > Left Flank",3.6,-1,Lead,Fell/Hung,Sport,,60,6600
2022-11-23,"To Defy the Laws of Tradition",5.10-,"kind of awkward at bottom, then flowed at the top, prov had bad beta. perfect square hold was links fav",https://www.mountainproject.com/route/105860648/to-defy-the-laws-of-tradition,1,"Kentucky > Red River Gorge > Northern Gorge > Left Flank",3.3,3,Lead,,Sport,5.10a,60,2700
2022-09-23,"Stolen Chimney","5.10 A0","climbed late at night with tu and kn, followong lp and eb. started p1 at 1045, back to car by 3. found the bolt ladders to be challenging at 5.10, def yarded on draws at each. p2 was grwat, long mud chimney with mostly good pro. p4 was wild- total ttaffic jam at 1 am on a saturday, crowds are out of control. stood on top of the pedestal after the others, v stressful with the whole group.",https://www.mountainproject.com/route/105717310/stolen-chimney,4,"Utah > Southeast Utah > Fisher Towers > Ancient Art",3.7,4,Lead,,"Trad, Aid","5.10+ A0",,3000
2022-09-20,"Kor-Ingalls Route",5.9+,"lead with kn and tu- sprinkled rain on and off a couple times, wind dried it very quickly. p1 had squeeze and some stemming. p2 had a wide slick crack- took a #3 but was mostly #4. #5 may work, i also jammed a 6 in there. crack was very polished, could not get good jams but the kayback went ok. p3 had a short cruxy corner with the tat pro and then the scariest part of the climb was the loose blocks in the chimney before the crux. crux was very fun and protected by bolts then tat, fun and grunty dive into squeeze chimney. p4 took the face- very easy 5.7 and the chimney looked hard to protect. met up with lp and eb at the top, super classic summit and tower. kn had a grunt getting into the squeeze on p3 and a minor panic attack. tu could not fit in the original way and had to climb higher. climbed p4 together with other group.",https://www.mountainproject.com/route/105717289/kor-ingalls-route,4,"Utah > Southeast Utah > Castle Valley > Castleton Tower",3.4,4,Lead,,Trad,5.9+,,2500
2022-09-19,"Triple Jeopardy",5.8,"fun routr- very tight squeeze to squeeze chimney to reg chimney",https://www.mountainproject.com/route/105717421/triple-jeopardy,1,"Utah > Southeast Utah > Indian Creek > Supercrack Buttress",2.5,4,Follow,,Trad,,50,2100
2022-09-19,"Bongo Flake",5.10-,"atypical for IC- the giant flake is solid and give v wide cracks- lots of layback up to good feet",https://www.mountainproject.com/route/107241541/bongo-flake,1,"Utah > Southeast Utah > Indian Creek > Supercrack Buttress",2.8,3,Lead,Flash,Trad,,90,2700
2022-09-19,"Supercrack of the Desert (aka Luxury Liner)",5.10,"fell on the headwall, pumped out my thumbs! crack def gets wider , gobi'd my forearms sticking them way back in the crack",https://www.mountainproject.com/route/105717364/supercrack-of-the-desert-aka-luxury-liner,1,"Utah > Southeast Utah > Indian Creek > Supercrack Buttress",3.8,4,Lead,Fell/Hung,Trad,,,3000
2022-09-19,"Incredible Hand Crack",5.10,"super fun! fell at the bulge, place too many cams at the crux :/ - place one and gun it to the easier section! top super fun and solid",https://www.mountainproject.com/route/105717367/incredible-hand-crack,1,"Utah > Southeast Utah > Indian Creek > Supercrack Buttress",3.8,4,Lead,Fell/Hung,Trad,5.10,100,3000
2022-09-18,"Chocolate Corner",5.9+,"v fun- but too many fun cracks they all blend together. sun killed us this day",https://www.mountainproject.com/route/105717349/chocolate-corner,1,"Utah > Southeast Utah > Indian Creek > Donnelly Canyon",3.0,-1,Lead,,Trad,,50,2500
2022-09-18,"Mr. Peanut",5.10+,"squeeze chimney to fun layback roof, tough transition to right face, then chimneyed off the tiny crack and the wall to the top",https://www.mountainproject.com/route/105886700/mr-peanut,1,"Utah > Southeast Utah > Indian Creek > Donnelly Canyon",3.0,4,TR,,Trad,5.10+,60,3300
2022-09-18,"The Naked and Dead","5.10 PG13","very fun, good hands to wierd tight chimney- still in the shade till afternoon!
chimney was very grunty",https://www.mountainproject.com/route/105717673/the-naked-and-dead,1,"Utah > Southeast Utah > Indian Creek > Donnelly Canyon",2.3,4,TR,,Trad,5.10,,3000
2022-09-18,"Binou's Crack",5.8+,"hot in the sun, secret  jug in left crack, ",https://www.mountainproject.com/route/105717346/binous-crack,1,"Utah > Southeast Utah > Indian Creek > Donnelly Canyon",2.7,3,Lead,,Trad,5.9-,,2200
2022-06-05,Ursula,5.6,"with eb- 2nd p is classic gunks striaght up ledges. bottom was some delicate slabby business. lp took half of his rack and i didnt realize till p2.",https://www.mountainproject.com/route/105840288/ursula,2,"New York > The Gunks > The Trapps > i. High E",2.8,3,Lead,,Trad,5.6,180,1600
