Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-11-11,Fillipina,5.9,"Awesome little bit of everything. ",https://www.mountainproject.com/route/106554766/fillipina,1,"New York > The Gunks > The Trapps > j. The Yellow Wall and The Seasons",2.9,-1,Lead,Onsight,Trad,,100,2400
2024-11-11,"Carbs and Caffeine",5.11a,"Adam killed it! Two bolts spicy. Fixed piece on traverse. ",https://www.mountainproject.com/route/105798933/carbs-and-caffeine,2,"New York > The Gunks > The Trapps > j. The Yellow Wall and The Seasons",3.7,-1,Follow,,Trad,,140,4600
2024-11-09,Betty,5.3,"Great first lead for Lauren! ",https://www.mountainproject.com/route/105920873/betty,2,"New York > The Gunks > The Trapps > b. Jackie and friends",3.0,-1,Follow,,Trad,,150,1300
2024-11-09,Minty,5.4,"Lauren lead pitch one. Confusing pitch two. Go on to the face at first belay. Tricky move off the deck. Second pitch is airy.",https://www.mountainproject.com/route/105800326/minty,3,"New York > The Gunks > The Trapps > f. The Guides' Wall (Madame G's)",3.0,-1,Follow,,Trad,,250,1400
2024-11-09,"Feast of Fools",5.10b,"Sent pitch one again! Two to make it true. ",https://www.mountainproject.com/route/105799568/feast-of-fools,2,"New York > The Gunks > The Trapps > h. The Arrow Wall - CCK",3.6,-1,Lead,Redpoint,Trad,,250,2900
2024-10-12,Gelsa,5.4,"I&#39;ve done this a few times before never ticked it. hmmm. Whatever.",https://www.mountainproject.com/route/105799482/gelsa,3,"New York > The Gunks > The Near Trapps > a. Beginning of cliff to Gelsa",3.5,-1,Lead,,Trad,,195,1400
2024-10-12,"Bird Cage",5.10b,"This climb kicks my ass. another failed attempted at the roof. Bailed left to birdland and cleaned in the most fucked up dumb way swinging the whole way. Thanks Connor. ",https://www.mountainproject.com/route/105799578/bird-cage,1,"New York > The Gunks > The Near Trapps > b. Gelsa to Moe (closure)",3.7,-1,Lead,,Trad,,100,2900
2024-10-12,"Yum Yum Yab Yum",5.4,"Linked pitch one and two Connor lead three. Pitch one had some old gear and dead bee hive.",https://www.mountainproject.com/route/105800391/yum-yum-yab-yum,3,"New York > The Gunks > The Near Trapps > b. Gelsa to Moe (closure)",3.2,-1,Lead,,Trad,,250,1400
2024-09-23,"Face to Face",5.10b,"Sent clean on top rope will definitely get the send next time lots of places to rest lots of fun. ",https://www.mountainproject.com/route/106089261/face-to-face,3,"New York > The Gunks > The Trapps > h. The Arrow Wall - CCK",3.6,-1,TR,,Trad,,270,2900
2024-09-23,"Amber Waves of Pain",5.10a,"Thought I would get the flash fell through the awkward far left move climb completely doable looking forward to the send.",https://www.mountainproject.com/route/106607648/amber-waves-of-pain,1,"New York > The Gunks > The Trapps > h. The Arrow Wall - CCK",3.5,-1,Lead,Fell/Hung,Trad,,100,2600
2024-09-23,"Three Vultures Direct",5.10c/d,"Fun but hard try it flash palm the first crux climb the outside of the arete save energy for the final move. ",https://www.mountainproject.com/route/113897838/three-vultures-direct,1,"New York > The Gunks > The Trapps > h. The Arrow Wall - CCK",3.7,-1,Lead,Fell/Hung,Trad,,80,3400
2024-09-17,MF,5.9,"Always forget the Beta for crux move remember to side pull low. Also last climb of the day so was feeling weak. Next time.",https://www.mountainproject.com/route/105799143/mf,1,"New York > The Gunks > The Trapps > e. The Mac Wall (Something Interesting)",3.6,-1,Lead,Fell/Hung,Trad,,180,2400
