Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-10-17,Culp-Bossier,5.8+,"Wonderful climb, with Link. Linked the first two pitches, and the fourth and fifth. Slight snow and cool conditions but still lots of fun",https://www.mountainproject.com/route/105763911/culp-bossier,8,"Colorado > Alpine Rock > RMNP - Rock > Hallett Peak",3.6,-1,,,"Trad, Alpine",,,2200
2024-04-18,"Tea Time",5.11b,"Climbed on top rope up to the last bolt, the led the final part to the anchors. Felt hard for the grade, very cruxy ",https://www.mountainproject.com/route/106473809/tea-time,1,"Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 38 > Far Side > Gun Show",3.3,-1,TR,,Sport,,45,4900
2024-04-18,"Endless Bliss",5.9,"Just did the first pitch. Quite slabby, but it felt good. My head really didn't want to fall.",https://www.mountainproject.com/route/105798597/endless-bliss,1,"Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 38 > Far Side > Gun Show",3.1,-1,Lead,Onsight,Sport,,130,2400
2024-04-18,"Elation at the End of Eternity",5.9+,"Only did the first pitch. Very interesting",https://www.mountainproject.com/route/105798604/elation-at-the-end-of-eternity,1,"Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 38 > Far Side > Gun Show",2.8,-1,Lead,Onsight,Sport,,135,2500
2024-04-18,"Closeness to Forever as the Soil Bleeds Black",5.8+,"Top out felt hard, but it was doable.",https://www.mountainproject.com/route/109280107/closeness-to-forever-as-the-soil-bleeds-black,1,"Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 38 > Far Side > Gun Show",2.6,-1,Lead,Onsight,Sport,,70,2200
2024-04-01,"In the Middle Again",5.6,,https://www.mountainproject.com/route/119295001/in-the-middle-again,1,"Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 38 > Far Side > Interstate Park > (a) Headlight Point",1.7,-1,Lead,Onsight,Sport,,40,1600
2024-04-01,Hurricane,5.10c,,https://www.mountainproject.com/route/107787753/hurricane,1,"Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 38 > Far Side > Interstate Park > (c) Eastern Block",2.7,-1,Lead,Fell/Hung,Sport,,40,3200
2024-04-01,"Ellie's Sweet Kiss",5.9+,,https://www.mountainproject.com/route/106523720/ellies-sweet-kiss,1,"Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 38 > Far Side > Interstate Park > (c) Eastern Block",2.8,-1,Lead,Fell/Hung,Sport,,75,2500
2024-04-01,Insomniac,5.8,,https://www.mountainproject.com/route/107783765/insomniac,1,"Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 38 > Far Side > Interstate Park > (a) Headlight Point",3.0,-1,Lead,Onsight,Sport,,90,2100
2021-07-03,"Kautz Glacier",WI2-3,,https://www.mountainproject.com/route/105906991/kautz-glacier,1,"Washington > South-West & Tacoma > Southwest Cascades > Mount Rainier National Park > Mount Rainier",3.5,-1,,,"Ice, Alpine",,9000,31500
2021-06-26,"North Ridge","WI3 Steep Snow",,https://www.mountainproject.com/route/106445849/north-ridge,1,"Washington > Northwest Region > Hwy 20 and North Cascades National Park > North Cascades > Mt. Baker",3.8,-1,,,"Ice, Snow, Alpine",,3000,32000
2019-11-30,"Guernica (To first anchor)",5.11a,,https://www.mountainproject.com/route/108485824/guernica-to-first-anchor,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery",3.2,-1,TR,,Sport,,65,4600
2019-11-30,"Johnny B. Good",5.11a,,https://www.mountainproject.com/route/106154626/johnny-b-good,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery",3.4,-1,TR,,Sport,,80,4600
2019-11-30,"JewJew Fruit",5.10c,,https://www.mountainproject.com/route/110889566/jewjew-fruit,1,"Kentucky > Red River Gorge > Miller Fork Recreational Preserve (MFRP) > Fruit Wall",3.6,-1,Lead,,Sport,,75,3200
2019-11-28,"Poppin Cherries",5.8,,https://www.mountainproject.com/route/111089157/poppin-cherries,1,"Kentucky > Red River Gorge > Miller Fork Recreational Preserve (MFRP) > Fruit Wall",1.6,-1,Lead,,Sport,,40,2100
2019-11-28,Going Away Party,"5.10a PG13",,https://www.mountainproject.com/route/112222782/going-away-party,1,"Kentucky > Red River Gorge > Miller Fork Recreational Preserve (MFRP) > Secret Garden",2.7,-1,Lead,,Sport,,60,2600
2019-11-28,"Hippie Lip Balm",5.9,,https://www.mountainproject.com/route/110529330/hippie-lip-balm,1,"Kentucky > Red River Gorge > Miller Fork Recreational Preserve (MFRP) > Secret Garden",2.7,-1,Lead,,Sport,,75,2400
2019-11-28,"Little Wing",5.9,,https://www.mountainproject.com/route/110335844/little-wing,1,"Kentucky > Red River Gorge > Miller Fork Recreational Preserve (MFRP) > Secret Garden",3.3,-1,Lead,,Sport,,60,2400
2019-11-27,Sabertooth,5.10c,,https://www.mountainproject.com/route/107239363/sabertooth,1,"Kentucky > Red River Gorge > Muir Valley > Land Before Time Wall",2.4,-1,TR,,Sport,,55,3200
2019-11-27,"Prehistoric Extermination",5.8,,https://www.mountainproject.com/route/106968591/prehistoric-extermination,1,"Kentucky > Red River Gorge > Muir Valley > Land Before Time Wall",3.1,-1,Lead,,Sport,,50,2100
2019-11-27,Ryanosaurus,5.9,,https://www.mountainproject.com/route/106968604/ryanosaurus,1,"Kentucky > Red River Gorge > Muir Valley > Land Before Time Wall",2.9,-1,Lead,,Sport,,50,2400
2019-11-27,"A Portrait of the Artist as a Young Man",5.11b,,https://www.mountainproject.com/route/106949444/a-portrait-of-the-artist-as-a-young-man,1,"Kentucky > Red River Gorge > Muir Valley > Bibliothek",3.1,-1,TR,,Sport,,69,4900
2019-11-27,"100 Years of Solitude",5.11a,,https://www.mountainproject.com/route/106937689/100-years-of-solitude,1,"Kentucky > Red River Gorge > Muir Valley > Bibliothek",3.0,-1,TR,,Sport,,55,4600
2019-11-27,"The Short, Happy Life of Francis Macomber",5.10b,,https://www.mountainproject.com/route/106937694/the-short-happy-life-of-francis-macomber,1,"Kentucky > Red River Gorge > Muir Valley > Bibliothek",2.1,-1,TR,,Sport,,45,2900
2019-11-27,Harvey,5.7,,https://www.mountainproject.com/route/107124339/harvey,2,"Kentucky > Red River Gorge > Muir Valley > Animal Crackers Wall",2.2,-1,Lead,,Sport,,80,1800
2019-11-26,"27 Years of Climbing",5.8,,https://www.mountainproject.com/route/106125099/27-years-of-climbing,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery",3.6,-1,Lead,,Sport,,65,2100
2019-11-26,"The Glass Elevator",5.10d,,https://www.mountainproject.com/route/106927822/the-glass-elevator,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory",3.0,-1,TR,,Sport,,60,3500
2019-11-26,Loompa,5.10+,,https://www.mountainproject.com/route/106927842/loompa,1,"Kentucky > Red River Gorge > Bald Rock Recreational Preserve (BRRP) > Chocolate Factory",3.5,-1,TR,,Sport,,60,3300
2019-11-26,"Plate Tectonics",5.10a,,https://www.mountainproject.com/route/106065471/plate-tectonics,1,"Kentucky > Red River Gorge > Muir Valley > Tectonic Wall",3.3,-1,TR,,Sport,,70,2600
2019-11-26,"Gettin' Lucky in Kentucky",5.10b,,https://www.mountainproject.com/route/106065461/gettin-lucky-in-kentucky,1,"Kentucky > Red River Gorge > Muir Valley > Tectonic Wall",3.4,-1,Lead,,Sport,,60,2900
2019-11-26,Mancala,5.10a/b,,https://www.mountainproject.com/route/106921324/mancala,1,"Kentucky > Red River Gorge > Muir Valley > Johnny's Wall",2.5,-1,TR,,Sport,,45,2800
2019-11-26,Spinner,5.10b,,https://www.mountainproject.com/route/106614626/spinner,1,"Kentucky > Red River Gorge > Muir Valley > Johnny's Wall",2.9,-1,Lead,,Sport,,50,2900
2019-11-26,"59"" DrillBitch",5.10a,,https://www.mountainproject.com/route/106614611/59-drillbitch,1,"Kentucky > Red River Gorge > Muir Valley > Johnny's Wall",3.0,-1,Lead,,Sport,,45,2600
2019-11-26,"Air Ride Equipped",5.11a,,https://www.mountainproject.com/route/106586504/air-ride-equipped,1,"Kentucky > Red River Gorge > Muir Valley > The Solarium",3.6,-1,TR,,Sport,,65,4600
2019-11-26,Moonshine,5.10-,,https://www.mountainproject.com/route/106915629/moonshine,1,"Kentucky > Red River Gorge > Muir Valley > Sunbeam Buttress",2.3,-1,TR,,Sport,,60,2700
2019-11-26,Backstabber,5.9,,https://www.mountainproject.com/route/107855134/backstabber,1,"Kentucky > Red River Gorge > Muir Valley > Sunbeam Buttress",2.0,-1,Lead,,Sport,,40,2400
2019-11-26,Backstabber,5.9,,https://www.mountainproject.com/route/107855134/backstabber,1,"Kentucky > Red River Gorge > Muir Valley > Sunbeam Buttress",2.0,-1,TR,,Sport,,40,2400
