Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-09-07,"Cascading Crystal Kaleidoscope (CCK)","5.8 PG13","Sent it ",https://www.mountainproject.com/route/105801065/cascading-crystal-kaleidoscope-cck,3,"New York > The Gunks > The Trapps > h. The Arrow Wall - CCK",3.8,-1,,,Trad,,250,2100
2024-07-28,Columbia,5.8,,https://www.mountainproject.com/route/106139490/columbia,2,"New York > The Gunks > The Trapps > f. The Guides' Wall (Madame G's)",2.5,-1,Follow,,Trad,,200,2100
2024-07-27,Columbia,5.8,"Hardest I’ve climbed at the gunks so far. Had some weird things happen this climb. Felt hard but doable…but the last bit pulling the filling got me. Ended up replacing gear and pulling on that.",https://www.mountainproject.com/route/106139490/columbia,2,"New York > The Gunks > The Trapps > f. The Guides' Wall (Madame G's)",2.5,-1,Follow,,Trad,,200,2100
2024-07-17,"Chitlin's Corner",5.10a,"Did first pitch 5.7, started second pitch but gear pulled out and decided to just lower to anchor and rap from them. Kai did both, struggled at the corner on second pitch but eventually got it. Fun first pitch, hot as hell in the sun. ",https://www.mountainproject.com/route/106034988/chitlins-corner,1,"Maine > -Acadia National Park > The Precipice aka The South Wall",3.3,-1,Follow,,Trad,,170,2600
2024-07-02,"Credibility Gap",5.6,"I remember this being quite enjoyable but I don&#39;t remember the climb too much",https://www.mountainproject.com/route/105950475/credibility-gap,2,"New York > The Gunks > The Trapps > e. The Mac Wall (Something Interesting)",3.0,-1,Follow,,Trad,,160,1600
2024-07-02,"Finger Locks or Cedar Box",5.5,"Linked to twin oaks, was harder than I thought it would be and I wasn&#39;t in the mood for trying hard lol",https://www.mountainproject.com/route/106055576/finger-locks-or-cedar-box,1,"New York > The Gunks > The Trapps > f. The Guides' Wall (Madame G's)",2.5,-1,Follow,,Trad,,50,1500
2024-07-02,"Madame Grunnebaum's Wulst",5.6,"Followed for second time. Was my first climb at the gunks. Felt much stronger this time as it has been almost a year (9mos). Sent the whole thing clean. Felt hard still since it was all layback most of the way up. Linked all the pitches which was the way to go",https://www.mountainproject.com/route/105799697/madame-grunnebaums-wulst,3,"New York > The Gunks > The Trapps > f. The Guides' Wall (Madame G's)",3.8,-1,Follow,,Trad,,210,1600
2024-07-02,"Twin Oaks",5.3,"Forgot my phone up at the top after doing madame G&#39;s. Decided to do this chossy, lichen covered climb thinking we&#39;d get up quick. Was not fun",https://www.mountainproject.com/route/106139499/twin-oaks,2,"New York > The Gunks > The Trapps > f. The Guides' Wall (Madame G's)",1.9,-1,Follow,,Trad,,190,1300
2024-07-02,"Imposter Complex",5.10b,"This was my favorite climb I did in Smith. Great feet and hands with just enough challenge that kept me gripped the whole time. Sent it",https://www.mountainproject.com/route/117375810/imposter-complex,1,"Oregon > Central Oregon > Smith Rock > (v) Monument Area > (7) The Monument > The Monument Base Area",3.0,-1,TR,,Sport,,85,2900
2024-07-02,"Approaching The Twilight",5.9-,"Very fun climb. Wish I had tried leading it! Next time and I&#39;ll be even stronger.",https://www.mountainproject.com/route/108416329/approaching-the-twilight,1,"Oregon > Central Oregon > Smith Rock > (v) Monument Area > (7) The Monument > The Monument Base Area",2.2,-1,TR,,Sport,,,2300
2024-07-02,"Time Step",5.10b,"Fun climb, did not send. Got to the roofy section and could not pull through.",https://www.mountainproject.com/route/117558093/time-step,1,"Oregon > Central Oregon > Smith Rock > (v) Monument Area > (7) The Monument > The Monument Base Area",3.0,-1,TR,,Sport,,65,2900
2024-07-02,"A Cream of White Mice",5.9,"First climb in Squamish",https://www.mountainproject.com/route/105857119/a-cream-of-white-mice,4,"International > North America > Canada > British Columbia > Squamish > Stawamus Chief > The Bulletheads > Bulletheads South",2.3,-1,Follow,,Trad,,,2400
2024-07-02,Diedre,5.8,"Great climb but damn it got wet. Did a 5.9 slab variation since the climb became a mini waterfall. Calf burner up the whole thing, holy shiz. The descent also was not for the weak of heart. The woods afterwards were an absolute dream.",https://www.mountainproject.com/route/105857666/diedre,6,"International > North America > Canada > British Columbia > Squamish > Stawamus Chief > The Apron > South Apron",3.4,-1,Follow,,Trad,,800,2100
2024-07-02,Skywalker,5.8,"The route almost defeated me on p2 crack. But I finally got through it and was rewarded with the super exhilarating walk along the sky. Literally no-one else on the mountain that day, definitely hit the jackpot w that. The descent scared me but then through the woods felt like a dream. ",https://www.mountainproject.com/route/107198282/skywalker,5,"International > North America > Canada > British Columbia > Squamish > Shannon Falls > Shannon Falls Wall",3.5,-1,Follow,,Trad,,300,2100
2024-07-02,"Yum Yum Yab Yum",5.4,"Followed double with Emily, then Kai by my side. Fun climb. Slightly harder than I was expecting for the grade",https://www.mountainproject.com/route/105800391/yum-yum-yab-yum,3,"New York > The Gunks > The Near Trapps > b. Gelsa to Moe (closure)",3.2,-1,Follow,,Trad,,250,1400
2024-07-02,Shitface,"5.10b/c R","Tried for fun, above my pay grade. Got maybe 1/3 of the way up the first pitch",https://www.mountainproject.com/route/105821473/shitface,1,"New York > The Gunks > The Near Trapps > b. Gelsa to Moe (closure)",2.9,-1,TR,,"Trad, TR",,75,3100
2024-07-02,Birdland,5.8+,"TR to collect a fellow climber&#39;s gear who was going to solo TR on the climb next door. He essentially ran up it. There were a few moves that almost stumped me with tiny hands that I couldn&#39;t quite reach. He helped me up w a generous belay.",https://www.mountainproject.com/route/105800395/birdland,1,"New York > The Gunks > The Near Trapps > b. Gelsa to Moe (closure)",3.6,-1,TR,,Trad,,200,2200
2024-07-02,"High Exposure",5.6,"Much easier than I was expecting. The second pitch money move was pretty fun.  I got super pumped on the section after to the top, just enough overhung - although good jugs the whole way up.",https://www.mountainproject.com/route/105798994/high-exposure,2,"New York > The Gunks > The Trapps > i. High E",3.8,-1,Follow,,Trad,,250,1600
2024-07-02,"Cascading Crystal Kaleidoscope (CCK)","5.8 PG13","Combined pitch 1 and 2. Fell on the &#39;crux&#39; move on our first pitch (technically p2) - wasn&#39;t super hard just didn&#39;t get the sequence right. The ultra classic traverse was very cool with some interesting moves that Kai helped me through with beta.",https://www.mountainproject.com/route/105801065/cascading-crystal-kaleidoscope-cck,3,"New York > The Gunks > The Trapps > h. The Arrow Wall - CCK",3.8,-1,Follow,,Trad,,250,2100
2024-07-01,"Cascading Crystal Kaleidoscope (CCK)","5.8 PG13",,https://www.mountainproject.com/route/105801065/cascading-crystal-kaleidoscope-cck,3,"New York > The Gunks > The Trapps > h. The Arrow Wall - CCK",3.8,-1,Follow,,Trad,,250,2100
2024-05-25,Orion,5.10a,,https://www.mountainproject.com/route/110643424/orion,1,"Oregon > Central Oregon > Smith Rock > (m) Smith Rock Group > (1) Northeast Face",2.8,-1,TR,,Sport,,85,2600
2024-05-25,"Hawks Nest",5.9,,https://www.mountainproject.com/route/108823278/hawks-nest,1,"Oregon > Central Oregon > Smith Rock > (m) Smith Rock Group > (1) Northeast Face",2.8,-1,TR,,Sport,,60,2400
