Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-12-01,Birdland,5.7+,"Lead pitches 1,2.  Very fun. Didn't actually place that many nuts on P1. Small gear is useful. Link lead P3, probably the spookiest. The traverse is quite hollow, wouldn't want to place anything there. Might want the roller biner there. Eric led P4, a bit scarcer gear but good climbing. Link lead P5, super chill until the finger crack which was small and slippery. Lots of good 0-0.2 on the right. Crux is at the big sloper that looks like a jug. There is a jam in the back left of that block. Did a single rap to P4 anchor then double rap to P2 then double 70 rap to ground. Lots of potential to get rope stuck. 5hr 40 mins car to car.",https://www.mountainproject.com/route/105733115/birdland,5,"Nevada > Southern Nevada > Red Rocks > (10) Pine Creek Canyon > Brass Wall",3.4,-1,Lead,Onsight,Trad,,600,1900
2024-11-29,"Dark Shadows",5.8,"Did with Eric and Jack. Eric led first pitch, seemed spooky. Pitch 2 is a little slippery and gear is kind of in the way. Pitch 3 was long and a little spicy. Very varied and fun. Pitch 4 has a spooky short offwidth section but it was short. Great day. Took 4 hrs and we were chillin.",https://www.mountainproject.com/route/105732380/dark-shadows,4,"Nevada > Southern Nevada > Red Rocks > (10) Pine Creek Canyon > Mescalito > Dark Shadows Wall",3.6,-1,Follow,,Trad,,350,2100
2024-11-28,"Olive Oil",5.7,"Olive oil anchors:
P1: 1,2,3

P2: 0.75, 0.5, yellow and blue totem. 4 would have been nice

P3: 0.75, 2, 3

P4: 0.2, 0.3, little blue nut, slung chicken head on left

P5: 0.5, 0.4, blue or black totem. I lead pitch 2. Other pitches would have been ok but pitch 4&5 would've been a bit spooky. We left some non obvious gear for Eric and Tom. Jack crushed it.",https://www.mountainproject.com/route/105732494/olive-oil,5,"Nevada > Southern Nevada > Red Rocks > (11) Juniper Canyon > Rose Tower",3.4,-1,Lead,Onsight,Trad,,600,1800
2024-11-27,"Kibbles 'n bits",5.8,"Fun climb. At crux stay right.",https://www.mountainproject.com/route/123175091/kibbles-n-bits,2,"Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Parking Lot Area > Man's Best Friend Area",2.4,-1,Lead,Onsight,Sport,,190,2100
2024-11-27,"Man's Best Friend",5.7,"Fun climb. Top part of 2nd pitch is a little spooky.",https://www.mountainproject.com/route/106070440/mans-best-friend,2,"Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Parking Lot Area > Man's Best Friend Area",2.7,-1,Lead,Onsight,Sport,,180,1800
2024-11-17,"Trouble Chute",5.8,"With Jake and Ashley. Slung the entire top feature with the rope. Next time a static rope and a tarp would be ideal. Backed up with a 3 in crack by feet and a 1 to keep the rope from sliding on the bloc. Top belayed. Was crumbly.",https://www.mountainproject.com/route/112552247/trouble-chute,1,"California > Joshua Tree National Park > Central Joshua Tree > Sheep Pass Area > Hall of Horrors Area > Hall of Horrors > South Horror Rock",2.0,-1,,,TR,,40,2100
2024-11-17,"Hueco Wall","5.5 X","Went up the ramp on the right to set the TR. places a 3&2 to protect top scramble. Anchor was a 3,2,0.5,0.4. static rope would have been nice. Cleaned from top and then set TR on Cheshire ",https://www.mountainproject.com/route/111150365/hueco-wall,1,"California > Joshua Tree National Park > Central Joshua Tree > Sheep Pass Area > Hall of Horrors Area > Hall of Horrors > East Wall Inner (Exorcist Area)",1.5,-1,TR,,"Trad, TR",,35,1500
2024-11-17,"Chesire For President",5.7,"Anchor is single bolt ish thing, should be replaced, can't rap from it.  Set TR after doing hueco. Lil sketchy..",https://www.mountainproject.com/route/107871629/chesire-for-president,1,"California > Joshua Tree National Park > Central Joshua Tree > Sheep Pass Area > Hall of Horrors Area > Hall of Horrors > East Wall Inner (Exorcist Area)",1.0,-1,,,Trad,,35,1800
2024-11-03,"Monkey Mayhem",5.5,"Last climb before gorgeous area, 5.5, so many bolts! Great intro lead.",https://www.mountainproject.com/route/106583906/monkey-mayhem,1,"California > Los Angeles Basin > Santa Monica Mountains > Malibu Creek State Park > Stumbling Blocks",2.3,-1,TR,,Sport,,70,1500
2024-11-03,"Monkey Mayhem",5.5,"5.5 to the right of monkey, kind of hollow but ok",https://www.mountainproject.com/route/106583906/monkey-mayhem,1,"California > Los Angeles Basin > Santa Monica Mountains > Malibu Creek State Park > Stumbling Blocks",2.3,-1,Lead,Onsight,Sport,,70,1500
2024-11-03,"Monkey Mayhem",5.5,"Fun climb, if using this to set up TR for the 10a set some directionals.",https://www.mountainproject.com/route/106583906/monkey-mayhem,1,"California > Los Angeles Basin > Santa Monica Mountains > Malibu Creek State Park > Stumbling Blocks",2.3,-1,TR,,Sport,,70,1500
2024-11-03,Gorgeous,5.10a,"Little pumpy after the roof, there is a hollow jug that seems ok. Someone should trundle the ledge, lots of loose stuff",https://www.mountainproject.com/route/105904186/gorgeous,1,"California > Los Angeles Basin > Santa Monica Mountains > Malibu Creek State Park > Mt. Gorgeous",2.8,-1,Lead,Onsight,Sport,,60,2600
2024-11-03,Friendzoned,5.7,,https://www.mountainproject.com/route/119041940/friendzoned,1,"California > Los Angeles Basin > Santa Monica Mountains > Malibu Creek State Park > Mt. Gorgeous",2.0,-1,Lead,,Sport,,50,1800
2024-11-03,"Born on the 4th of July",5.8,,https://www.mountainproject.com/route/107956495/born-on-the-4th-of-july,1,"California > Los Angeles Basin > Santa Monica Mountains > Malibu Creek State Park > Mt. Gorgeous",1.9,-1,Lead,,Sport,,50,2100
2024-11-03,K-2,5.8,,https://www.mountainproject.com/route/106611950/k-2,1,"California > Los Angeles Basin > Santa Monica Mountains > Malibu Creek State Park > Mt. Gorgeous",1.8,-1,Lead,,Sport,,40,2100
2024-10-20,Passat,V1+,,https://www.mountainproject.com/route/112908769/passat,1,"California > Los Angeles Basin > Angeles National Forest > Horse Flats > Main Area > Swiss Cheese Boulder",2.3,-1,Send,,Boulder,,15,20110
2024-10-20,"Mr. Peanut Butter",V1,,https://www.mountainproject.com/route/108406715/mr-peanut-butter,1,"California > Los Angeles Basin > Angeles National Forest > Horse Flats > Main Area > Peanut Boulder",2.5,-1,Attempt,,Boulder,,15,20100
2024-10-13,"Big Grunt",5.9+,"Attempt, could not get body in",https://www.mountainproject.com/route/105941695/big-grunt,1,"California > San Diego County > North San Diego County > Mount Woodson > Poison Oak Boulder Area",3.7,-1,Solo,,TR,,30,2500
2024-10-13,"The Learning Cave Chimney",5.9,"Had to take, fun, hard on the wrists",https://www.mountainproject.com/route/124290991/the-learning-cave-chimney,1,"California > San Diego County > North San Diego County > Mount Woodson > The Northern Territories > The Learning Cave",3.9,-1,TR,,"Sport, TR",,48,2400
2024-10-13,"Robbins Crack",5.10a,"V fun, did with Mo and crew",https://www.mountainproject.com/route/105792316/robbins-crack,1,"California > San Diego County > North San Diego County > Mount Woodson > Robbins Boulder",3.6,-1,TR,,Trad,,35,2600
2024-10-10,"On Belay with God",5.5,"W/Ashley, placed 2-3 pieces",https://www.mountainproject.com/route/113474259/on-belay-with-god,1,"California > San Bernardino Mountains > Lake Arrowhead Area > Lake Arrowhead Pinnacles > Shooting Gallery > Overhang Pinnacle",2.4,-1,Lead,Onsight,Sport,,,1500
