Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-12-01,Birdland,5.7+,"Last day w/ Susan and link. Great climb. Led P4. Would love to return and led them all. P2 was little complicated. Take your time and find good holds, jams, and feet (behind you). P3 was spooky and delicate but would lead. Take time on traverse. Link built trad anchor top P5, so Susan and I got a free mini lead pitch on the crux moves to get to the rap rings. ",https://www.mountainproject.com/route/105733115/birdland,6,"Nevada > Southern Nevada > Red Rocks > (10) Pine Creek Canyon > Brass Wall",3.4,4,Lead,,Trad,,600,1900
2024-11-30,"Solar Slab",5.6,"W/ Jack, link, and Elizabeth. Lead P1, 34, 89 
Jack linked P5-7 required with 70 and 5m of simuling. P1 was awesome, runout was fine. Absurd beta from me on p3. RH ring lock, LH sloper, RF foot jam, LF smear. I definitely don’t over climb 5.6. Great day. ",https://www.mountainproject.com/route/105732257/solar-slab,9,"Nevada > Southern Nevada > Red Rocks > (12) Oak Creek Canyon > Solar Slab - Upper Tier",3.5,4,Lead,,Trad,,1220,1600
2024-11-30,"Solar Slab Gully",5.4,"Followed/ Jack. W/ link and Elizabeth. Jack linked 1,2,3 with a 70m plus 5-10m of simuling. Rapped twice with two 70s",https://www.mountainproject.com/route/105732227/solar-slab-gully,5,"Nevada > Southern Nevada > Red Rocks > (12) Oak Creek Canyon > Solar Slab - Lower Tier",2.1,-1,Follow,,Trad,,540,1400
2024-11-29,"Dark Shadows",5.8,"W/ Jack and Susan. We crushed. Led P1. 
P1 was slabby, felt sketch. 
Jack led p2-4, p2 5.6 but awkward, slick, and committing; would lead but would be stressful. P3, fell off lay back 10-15&#34; up forward. Was spooky because it was a true fall. But bad beta, need to find handjams deep in the crack and use feet inside crack instead of layback. Rest of climbing was sweet. P4 off width was fine but would be scary lead. Use small holds inside crack and reach high. 2 raps with twins. Maybe full thing, next trip?",https://www.mountainproject.com/route/105732380/dark-shadows,4,"Nevada > Southern Nevada > Red Rocks > (10) Pine Creek Canyon > Mescalito > Dark Shadows Wall",3.6,4,Lead,,Trad,,350,2100
2024-11-28,"Olive Oil",5.7,"W/ Tom behind Susan and Jack. Led P1/3/5
P1 a bit sketch but manageable, forgot the nuts wish I had them. Committing move out left. Apparently placed a .3 as a nut and then forgot to clip it or it unclipped itself?? P3 chill, P5 traverse used good holds as feet and worked over. Scary ass chimney. Had to hang bag, and Jack left a 3 for me which helped, still one of the more bold leads I’ve had. Also pulled up rope  too much and almost pulled Tom off the cliff. Descent through gully on right
Anchors: 
P1: 1,2,3
P2: 0.75, 0.5, yellow and blue totem. 4 would have been nice
P3: 0.75, 2, 3
P4: 0.2, 0.3, little blue nut, slung chicken head on left
P5: 0.5, 0.4, blue or black totem
",https://www.mountainproject.com/route/105732494/olive-oil,5,"Nevada > Southern Nevada > Red Rocks > (11) Juniper Canyon > Rose Tower",3.4,4,Lead,Onsight,Trad,,600,1800
2024-11-27,"Kibbles 'n bits",5.8,"W/ Susan. Led P2, Cheated 2nd Clip, stay further right",https://www.mountainproject.com/route/123175091/kibbles-n-bits,2,"Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Parking Lot Area > Man's Best Friend Area",2.4,-1,Lead,,Sport,,190,2100
2024-11-27,"Man's Best Friend",5.7,"W/ Susan. Led P1, fun and chill, easy approach. Rapped in, Scrambled Gully to exit",https://www.mountainproject.com/route/106070440/mans-best-friend,2,"Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Parking Lot Area > Man's Best Friend Area",2.7,-1,Lead,Onsight,Sport,,180,1800
2024-11-16,Sixish,5.5,"W/ Filipe, we did 5.6 variation of the next, he lead P1 i lead P23. I would stick to normal route for when I lead it. P23 was harder than anticipated, the traverse has very poor hands but good feet if you stretch it out",https://www.mountainproject.com/route/105968658/sixish,3,"New York > The Gunks > The Trapps > c. Frog's Head - the Arch",3.0,-1,Lead,,Trad,,200,1500
2024-11-16,Hawk,5.5,"W/ Felipe. I lead 1/3 he lead 2. Mine were fine and fun but no notes. The traverse pitch was awesome. 120 cm on second peace in first corner. Some froggy stance move which will be spooky on lead but seriously cool. Crux is chalked jugs with piton. Then cut feet and have fun. ",https://www.mountainproject.com/route/105806018/hawk,3,"New York > The Gunks > The Trapps > f. The Guides' Wall (Madame G's)",2.9,4,Lead,,Trad,,290,1500
2024-11-16,"Madame Grunnebaum's Wulst",5.6,"Split leads with Felipe. He crushed, i didn’t look at guide book and definitely did a variation on P1. Would love to come back and lead the whole thing. Crux is actually first lil dihedral on p2 where you have to smear foot on arete. It’s good just go for it. Second crux is standing Waco. Just over crimp and get your weight under your feet. Last crux is the last mantle. Go right more than you think. Last good peice is pro is the #3 on the last roof pull",https://www.mountainproject.com/route/105799697/madame-grunnebaums-wulst,3,"New York > The Gunks > The Trapps > f. The Guides' Wall (Madame G's)",3.8,4,Lead,,Trad,,210,1600
2024-11-04,"Far Face Corner",5.4,"With Holly, very polished and didn&#39;t love the gear got to the overhang move and didn&#39;t trust the gear or feet so downclimbed",https://www.mountainproject.com/route/106488991/far-face-corner,1,"Pennsylvania > Southeastern Lowlands > Ralph Stover State Park (High Rocks) > r. Far Face",1.9,1,Lead,Fell/Hung,"Trad, TR",,45,1400
2024-11-04,"Dirty Sanchez",5.9+,"W/ Holly. strugged on P2 didn&#39;t get this time",https://www.mountainproject.com/route/107478445/dirty-sanchez,2,"Pennsylvania > Southeastern Lowlands > Ralph Stover State Park (High Rocks) > i. Orangutan Buttress",2.9,-1,Follow,,Sport,,110,2500
2024-11-04,"Open Face","5.5 R","W/ Holly, fun, not sure why we don&#39;t do this everytime we set open face slab",https://www.mountainproject.com/route/106164327/open-face,1,"Pennsylvania > Southeastern Lowlands > Ralph Stover State Park (High Rocks) > h. Open Face",2.3,-1,TR,,Trad,,110,1500
2024-11-04,"Open Face Slab",5.7,"W/ Holly",https://www.mountainproject.com/route/108125830/open-face-slab,1,"Pennsylvania > Southeastern Lowlands > Ralph Stover State Park (High Rocks) > h. Open Face",2.8,3,Lead,,"Sport, TR",,100,1800
2024-10-26,Betty,5.3,"W/ Mike. Always fun, mike ended up facing outwards in the chimney?!  We should do it again next time and tick the footholds or do face variation",https://www.mountainproject.com/route/105920873/betty,2,"New York > The Gunks > The Trapps > b. Jackie and friends",3.0,4,Lead,,Trad,,150,1300
2024-10-26,Minty,5.4,"With Mike. Open on a fall saturday?! Mike&#39;s first trad climb and multipitch! He absolutely crushed and the climb was more exposed then I remember it being two weeks ago. He locked in, and face climbed super confidently although I don&#39;t think he looked down once. Super proud of him, Incredible family experience",https://www.mountainproject.com/route/105800326/minty,3,"New York > The Gunks > The Trapps > f. The Guides' Wall (Madame G's)",3.0,4,Lead,Onsight,Trad,,250,1400
2024-10-26,Bunny,5.5,"W/ mike, he belayed. First 20 ft was stiff, two good hands and then a half pad three finger side pull on a 5.4/5,5???? still great and fun moves but one or two unexpected harder moves off the deck. After second undercling roof there was a 20 ft run out which I couldn&#39;t solve but I just went for it. Climbed with a 60m and the unweighted rope ends barely reached the ground. No problem will weighted. ",https://www.mountainproject.com/route/105888225/bunny,1,"New York > The Gunks > The Trapps > a1. The Uberfall - left",2.6,3,Lead,Onsight,Trad,5.5,100,1500
2024-10-18,Jackie,5.5,"With Seb, never has this climb felt smoother. Great lead day, maybe a little stronger and alot more confidence made this a really fun and enjoyable pitch. No stress. ",https://www.mountainproject.com/route/105812940/jackie,2,"New York > The Gunks > The Trapps > b. Jackie and friends",3.1,4,Lead,,Trad,,160,1500
2024-10-18,"Belly Roll",5.4,"With Seb. Did it in one pitch. Very fast maybe half hour to get us both up. So fun ",https://www.mountainproject.com/route/106101970/belly-roll,2,"New York > The Gunks > The Trapps > b. Jackie and friends",2.5,3,,,Trad,,120,1400
2024-10-18,Dennis,5.5,"With Seb. Did it in one pitch. Beginning is still burly. I didn&#39;t hesitate at all on the move but I didn&#39;t plan the feet after I hit the move. Next time, look down before making the move, would be less stressful. Maybe the first time I actually finished the last 20 ft appropriately and didn’t end up on belly roll ",https://www.mountainproject.com/route/105968655/dennis,1,"New York > The Gunks > The Trapps > b. Jackie and friends",2.5,3,,,Trad,,120,1500
2024-10-18,"High Exposure",5.6,"With Seb. Linked P1 and p2. Rope drag was okay. Last piece before the traverse was dumb. P3 was a bit intimidating to get out but so good once I committed. Rest of face was beautiful. Took it slow didn’t get pumped. This was a goal for the fall, so really happy. Maria/Madam G next. ",https://www.mountainproject.com/route/105798994/high-exposure,2,"New York > The Gunks > The Trapps > i. High E",3.8,4,Lead,,Trad,,250,1600
2024-10-12,Betty,5.3,"With Holly. I led p1. She led the money p2 and crushed it. Second trad lead for her and really great placements. Finished in the dark ",https://www.mountainproject.com/route/105920873/betty,2,"New York > The Gunks > The Trapps > b. Jackie and friends",3.0,4,Lead,,Trad,,150,1300
2024-10-12,"Beginner's Delight",5.4,"With Holly. Really fun p2 and good p3. Fun dihedral moves. Not my best anchor on top of p2 but gotta do what you gotta do ",https://www.mountainproject.com/route/105801001/beginners-delight,3,"New York > The Gunks > The Trapps > f. The Guides' Wall (Madame G's)",3.2,3,Lead,Onsight,Trad,,250,1400
